,mean,max_brightness_count,min_brightness_count,total_count,center
178,237.0,1682.0,4551.0,6958.0,254.0
179,188.0,0.0,1166.0,4000.0,239.0
180,200.0,0.0,1150.0,2730.0,242.0
181,186.0,0.0,1038.0,3520.0,246.0
182,182.0,0.0,884.0,3036.0,242.0
183,184.0,0.0,892.0,2739.0,223.0
184,242.0,1918.0,3642.0,4704.0,255.0
185,184.0,0.0,1120.0,3296.0,231.0
186,188.0,0.0,1239.0,3074.0,232.0
187,183.0,0.0,1330.0,3960.0,235.0
188,184.0,0.0,1470.0,4130.0,234.0
189,179.0,0.0,1535.0,4920.0,235.0
190,181.0,0.0,1632.0,4836.0,236.0
191,181.0,0.0,1615.0,4998.0,240.0
192,179.0,0.0,1783.0,5676.0,237.0
193,169.0,0.0,1783.0,9639.0,115.0
194,186.0,0.0,1703.0,4608.0,239.0
195,178.0,0.0,1652.0,5418.0,237.0
196,182.0,0.0,1606.0,5160.0,243.0
197,181.0,0.0,1600.0,4797.0,237.0
198,177.0,0.0,1508.0,5117.0,239.0
199,176.0,0.0,1437.0,5166.0,239.0
200,180.0,0.0,1373.0,4366.0,239.0
201,174.0,0.0,131.0,740.0,203.0
202,178.0,0.0,1344.0,4520.0,237.0
203,182.0,0.0,1039.0,2813.0,231.0
204,186.0,0.0,1036.0,2697.0,230.0
205,243.0,1484.0,3528.0,4425.0,254.0
206,181.0,0.0,1026.0,2820.0,233.0
207,177.0,0.0,1022.0,3589.0,236.0
208,243.0,1608.0,3559.0,4720.0,253.0
209,181.0,0.0,930.0,2821.0,234.0
210,183.0,0.0,1010.0,2813.0,231.0
211,178.0,0.0,976.0,3069.0,242.0
212,171.0,0.0,951.0,3876.0,228.0
213,240.0,1379.0,3962.0,5208.0,254.0
214,179.0,0.0,937.0,2912.0,238.0
215,174.0,0.0,950.0,3264.0,243.0
216,178.0,0.0,954.0,2944.0,240.0
217,171.0,0.0,954.0,3744.0,232.0
218,244.0,1799.0,3327.0,4200.0,255.0
219,178.0,0.0,983.0,3264.0,234.0
220,176.0,0.0,972.0,3230.0,231.0
221,178.0,0.0,948.0,2883.0,224.0
222,240.0,1539.0,3932.0,5427.0,254.0
223,245.0,1874.0,3310.0,4218.0,255.0
224,244.0,1570.0,3185.0,4212.0,253.0
225,178.0,0.0,955.0,2914.0,231.0
226,245.0,1392.0,3211.0,4212.0,255.0
227,240.0,1398.0,3985.0,5280.0,254.0
228,226.0,7183.0,10236.0,18370.0,255.0
229,225.0,7442.0,10179.0,18480.0,255.0
