,mean,max_brightness_count,min_brightness_count,total_count,center
138,117.0,0.0,0.0,5700.0,125.0
139,117.0,0.0,0.0,5700.0,125.0
140,117.0,0.0,0.0,5700.0,125.0
141,123.0,0.0,0.0,5358.0,125.0
142,123.0,0.0,0.0,5358.0,125.0
143,123.0,0.0,0.0,5358.0,125.0
144,127.0,0.0,0.0,5640.0,132.0
145,127.0,0.0,0.0,5640.0,132.0
146,127.0,0.0,0.0,5640.0,132.0
147,132.0,0.0,0.0,5452.0,135.0
148,132.0,0.0,0.0,5452.0,135.0
149,132.0,0.0,0.0,5452.0,135.0
150,133.0,0.0,0.0,5640.0,140.0
151,133.0,0.0,0.0,5640.0,140.0
152,133.0,0.0,0.0,5640.0,140.0
153,133.0,0.0,0.0,5244.0,139.0
154,133.0,0.0,0.0,5244.0,139.0
155,133.0,0.0,0.0,5244.0,139.0
156,133.0,0.0,0.0,4452.0,139.0
157,133.0,0.0,0.0,4452.0,139.0
158,133.0,0.0,0.0,4452.0,139.0
159,130.0,0.0,0.0,3384.0,132.0
160,130.0,0.0,0.0,3384.0,132.0
161,130.0,0.0,0.0,3384.0,132.0
162,102.0,0.0,0.0,1716.0,111.0
163,102.0,0.0,0.0,1716.0,111.0
164,102.0,0.0,0.0,1716.0,111.0
165,91.0,0.0,0.0,1680.0,86.0
166,91.0,0.0,0.0,1680.0,86.0
167,91.0,0.0,0.0,1680.0,86.0
168,162.0,2.0,729.0,11616.0,178.0
169,162.0,2.0,729.0,11616.0,178.0
170,162.0,2.0,729.0,11616.0,178.0
171,90.0,0.0,0.0,2135.0,92.0
172,90.0,0.0,0.0,2135.0,92.0
173,90.0,0.0,0.0,2135.0,92.0
174,89.0,0.0,0.0,3010.0,86.0
175,89.0,0.0,0.0,3010.0,86.0
176,89.0,0.0,0.0,3010.0,86.0
177,162.0,3.0,875.0,12093.0,174.0
178,162.0,3.0,875.0,12093.0,174.0
179,162.0,3.0,875.0,12093.0,174.0
180,162.0,3.0,955.0,12180.0,173.0
181,162.0,3.0,955.0,12180.0,173.0
182,162.0,3.0,955.0,12180.0,173.0
183,162.0,7.0,1062.0,12994.0,173.0
184,162.0,7.0,1062.0,12994.0,173.0
185,162.0,7.0,1062.0,12994.0,173.0
186,162.0,5.0,1139.0,13818.0,171.0
187,162.0,5.0,1139.0,13818.0,171.0
188,162.0,5.0,1139.0,13818.0,171.0
189,162.0,8.0,1095.0,15912.0,177.0
190,162.0,8.0,1095.0,15912.0,177.0
191,162.0,8.0,1095.0,15912.0,177.0
192,162.0,1.0,1168.0,15876.0,176.0
193,162.0,1.0,1168.0,15876.0,176.0
194,162.0,1.0,1168.0,15876.0,176.0
195,161.0,4.0,1337.0,17334.0,176.0
196,161.0,4.0,1337.0,17334.0,176.0
197,161.0,4.0,1337.0,17334.0,176.0
198,161.0,6.0,1371.0,18040.0,175.0
199,161.0,6.0,1371.0,18040.0,175.0
200,161.0,6.0,1371.0,18040.0,175.0
201,162.0,4.0,1386.0,17877.0,160.0
202,162.0,4.0,1386.0,17877.0,160.0
203,162.0,4.0,1386.0,17877.0,160.0
204,161.0,4.0,1515.0,19470.0,169.0
205,161.0,4.0,1515.0,19470.0,169.0
206,161.0,4.0,1515.0,19470.0,169.0
207,163.0,3.0,1656.0,19372.0,170.0
208,163.0,3.0,1656.0,19372.0,170.0
209,163.0,3.0,1656.0,19372.0,170.0
210,163.0,5.0,1609.0,19720.0,167.0
211,163.0,5.0,1609.0,19720.0,167.0
212,163.0,5.0,1609.0,19720.0,167.0
213,162.0,0.0,1767.0,20868.0,162.0
214,162.0,0.0,1767.0,20868.0,162.0
215,162.0,0.0,1767.0,20868.0,162.0
216,161.0,0.0,1770.0,25740.0,176.0
217,161.0,0.0,1770.0,25740.0,176.0
218,161.0,0.0,1770.0,25740.0,176.0
219,161.0,2.0,1812.0,21432.0,175.0
220,161.0,2.0,1812.0,21432.0,175.0
221,161.0,2.0,1812.0,21432.0,175.0
222,161.0,1.0,1800.0,25273.0,175.0
223,161.0,1.0,1800.0,25273.0,175.0
224,161.0,1.0,1800.0,25273.0,175.0
225,161.0,3.0,1794.0,24639.0,173.0
226,161.0,3.0,1794.0,24639.0,173.0
227,161.0,3.0,1794.0,24639.0,173.0
228,161.0,8.0,1726.0,23760.0,172.0
229,161.0,8.0,1726.0,23760.0,172.0
230,161.0,8.0,1726.0,23760.0,172.0
231,161.0,0.0,1734.0,23160.0,177.0
232,161.0,0.0,1734.0,23160.0,177.0
233,161.0,0.0,1734.0,23160.0,177.0
234,161.0,0.0,1730.0,23040.0,175.0
235,161.0,0.0,1730.0,23040.0,175.0
236,161.0,0.0,1730.0,23040.0,175.0
237,161.0,1.0,1770.0,22656.0,176.0
238,161.0,1.0,1770.0,22656.0,176.0
239,161.0,1.0,1770.0,22656.0,176.0
240,161.0,0.0,1652.0,21583.0,173.0
241,161.0,0.0,1652.0,21583.0,173.0
242,161.0,0.0,1652.0,21583.0,173.0
243,162.0,0.0,1712.0,20648.0,169.0
244,162.0,0.0,1712.0,20648.0,169.0
245,162.0,0.0,1712.0,20648.0,169.0
246,161.0,1.0,1605.0,21318.0,173.0
247,161.0,1.0,1605.0,21318.0,173.0
248,161.0,1.0,1605.0,21318.0,173.0
249,164.0,1.0,1523.0,18126.0,176.0
250,164.0,1.0,1523.0,18126.0,176.0
251,164.0,1.0,1523.0,18126.0,176.0
252,161.0,6.0,1608.0,20453.0,172.0
253,161.0,6.0,1608.0,20453.0,172.0
254,161.0,6.0,1608.0,20453.0,172.0
255,160.0,3.0,1448.0,17930.0,177.0
256,160.0,3.0,1448.0,17930.0,177.0
257,160.0,3.0,1448.0,17930.0,177.0
258,162.0,4.0,1496.0,18924.0,175.0
259,162.0,4.0,1496.0,18924.0,175.0
260,162.0,4.0,1496.0,18924.0,175.0
261,161.0,2.0,1417.0,16995.0,177.0
262,161.0,2.0,1417.0,16995.0,177.0
263,161.0,2.0,1417.0,16995.0,177.0
264,160.0,5.0,1308.0,16320.0,176.0
265,160.0,5.0,1308.0,16320.0,176.0
266,160.0,5.0,1308.0,16320.0,176.0
267,164.0,0.0,482.0,14060.0,172.0
268,164.0,0.0,482.0,14060.0,172.0
269,164.0,0.0,482.0,14060.0,172.0
270,162.0,6.0,885.0,12816.0,165.0
271,162.0,6.0,885.0,12816.0,165.0
272,162.0,6.0,885.0,12816.0,165.0
273,161.0,16.0,848.0,11352.0,174.0
274,161.0,16.0,848.0,11352.0,174.0
275,161.0,16.0,848.0,11352.0,174.0
276,157.0,2.0,259.0,3139.0,74.0
277,157.0,2.0,259.0,3139.0,74.0
278,157.0,2.0,259.0,3139.0,74.0
279,129.0,0.0,19.0,4891.0,174.0
280,129.0,0.0,19.0,4891.0,174.0
281,129.0,0.0,19.0,4891.0,174.0
282,161.0,9.0,790.0,10287.0,171.0
283,161.0,9.0,790.0,10287.0,171.0
284,161.0,9.0,790.0,10287.0,171.0
285,130.0,0.0,16.0,4544.0,195.0
286,130.0,0.0,16.0,4544.0,195.0
287,130.0,0.0,16.0,4544.0,195.0
288,161.0,6.0,696.0,9594.0,177.0
289,161.0,6.0,696.0,9594.0,177.0
290,161.0,6.0,696.0,9594.0,177.0
291,162.0,1.0,642.0,8280.0,172.0
292,162.0,1.0,642.0,8280.0,172.0
293,162.0,1.0,642.0,8280.0,172.0
294,163.0,6.0,559.0,6864.0,159.0
295,163.0,6.0,559.0,6864.0,159.0
296,163.0,6.0,559.0,6864.0,159.0
297,161.0,12.0,617.0,8510.0,171.0
298,161.0,12.0,617.0,8510.0,171.0
299,161.0,12.0,617.0,8510.0,171.0
300,131.0,0.0,9.0,3180.0,179.0
301,131.0,0.0,9.0,3180.0,179.0
302,131.0,0.0,9.0,3180.0,179.0
303,161.0,2.0,452.0,6400.0,173.0
304,161.0,2.0,452.0,6400.0,173.0
305,161.0,2.0,452.0,6400.0,173.0
306,161.0,4.0,363.0,5301.0,171.0
307,161.0,4.0,363.0,5301.0,171.0
308,161.0,4.0,363.0,5301.0,171.0
309,162.0,2.0,350.0,4730.0,167.0
310,162.0,2.0,350.0,4730.0,167.0
311,162.0,2.0,350.0,4730.0,167.0
312,162.0,7.0,376.0,6097.0,186.0
313,162.0,7.0,376.0,6097.0,186.0
314,162.0,7.0,376.0,6097.0,186.0
315,160.0,1.0,328.0,4374.0,167.0
316,160.0,1.0,328.0,4374.0,167.0
317,160.0,1.0,328.0,4374.0,167.0
318,161.0,9.0,387.0,5742.0,178.0
319,161.0,9.0,387.0,5742.0,178.0
320,161.0,9.0,387.0,5742.0,178.0
321,157.0,1.0,188.0,4100.0,157.0
322,157.0,1.0,188.0,4100.0,157.0
323,157.0,1.0,188.0,4100.0,157.0
324,157.0,1.0,228.0,5244.0,180.0
325,157.0,1.0,228.0,5244.0,180.0
326,157.0,1.0,228.0,5244.0,180.0
327,152.0,0.0,191.0,4399.0,148.0
328,152.0,0.0,191.0,4399.0,148.0
329,152.0,0.0,191.0,4399.0,148.0
330,152.0,0.0,319.0,5460.0,162.0
331,152.0,0.0,319.0,5460.0,162.0
332,152.0,0.0,319.0,5460.0,162.0
333,147.0,0.0,139.0,4437.0,140.0
334,147.0,0.0,139.0,4437.0,140.0
335,147.0,0.0,139.0,4437.0,140.0
336,148.0,0.0,161.0,6068.0,171.0
337,148.0,0.0,161.0,6068.0,171.0
338,148.0,0.0,161.0,6068.0,171.0
339,143.0,0.0,99.0,4814.0,145.0
340,143.0,0.0,99.0,4814.0,145.0
341,143.0,0.0,99.0,4814.0,145.0
342,145.0,0.0,104.0,4524.0,160.0
343,145.0,0.0,104.0,4524.0,160.0
344,145.0,0.0,104.0,4524.0,160.0
345,140.0,0.0,55.0,4182.0,144.0
346,140.0,0.0,55.0,4182.0,144.0
347,140.0,0.0,55.0,4182.0,144.0
348,140.0,0.0,98.0,5270.0,151.0
349,140.0,0.0,98.0,5270.0,151.0
350,140.0,0.0,98.0,5270.0,151.0
351,138.0,0.0,50.0,4316.0,141.0
352,138.0,0.0,50.0,4316.0,141.0
353,138.0,0.0,50.0,4316.0,141.0
354,135.0,0.0,63.0,4560.0,141.0
355,135.0,0.0,63.0,4560.0,141.0
356,135.0,0.0,63.0,4560.0,141.0
357,132.0,0.0,53.0,4150.0,120.0
358,132.0,0.0,53.0,4150.0,120.0
359,132.0,0.0,53.0,4150.0,120.0
360,131.0,0.0,85.0,4712.0,141.0
361,131.0,0.0,85.0,4712.0,141.0
362,131.0,0.0,85.0,4712.0,141.0
363,129.0,0.0,75.0,4018.0,123.0
364,129.0,0.0,75.0,4018.0,123.0
365,129.0,0.0,75.0,4018.0,123.0
366,129.0,0.0,144.0,5551.0,135.0
367,129.0,0.0,144.0,5551.0,135.0
368,129.0,0.0,144.0,5551.0,135.0
369,124.0,0.0,39.0,4335.0,121.0
370,124.0,0.0,39.0,4335.0,121.0
371,124.0,0.0,39.0,4335.0,121.0
372,121.0,0.0,119.0,4590.0,122.0
373,121.0,0.0,119.0,4590.0,122.0
374,121.0,0.0,119.0,4590.0,122.0
375,121.0,0.0,150.0,7068.0,144.0
376,121.0,0.0,150.0,7068.0,144.0
377,121.0,0.0,150.0,7068.0,144.0
378,119.0,0.0,48.0,4420.0,118.0
379,119.0,0.0,48.0,4420.0,118.0
380,119.0,0.0,48.0,4420.0,118.0
381,116.0,0.0,54.0,4472.0,128.0
382,116.0,0.0,54.0,4472.0,128.0
383,116.0,0.0,54.0,4472.0,128.0
384,117.0,0.0,45.0,4810.0,131.0
385,117.0,0.0,45.0,4810.0,131.0
386,117.0,0.0,45.0,4810.0,131.0
387,116.0,0.0,33.0,4592.0,127.0
388,116.0,0.0,33.0,4592.0,127.0
389,116.0,0.0,33.0,4592.0,127.0
390,115.0,0.0,25.0,4788.0,121.0
